大类,部门名称,组织员人数,编制人数,本科生,研究生,留学生人数,长期留学生人数,折合学生数,在编-教师,公共课学分,公共课数量,是否公共课,预算约束人数,在编-教辅,在编-思政,在编-管理,在编-工勤,博士后,双轨制,学校经费派遣,部门经费派遣,项目经费派遣,可上报高研院,不可上报高研院,可上报柔性,不可上报柔性,劳动合同制专职科研人员,一年制科研助理
理,物理科学与工程学院,1,7,506,557,,,,99,40.5,15,1,,16,0,8,1,31,6,0,0,6,2,0,2,3,,
理,数学科学学院,1,5,478,331,,,,78,101,22,1,,2,3,5,0,12,1,0,1,0,6,0,0,2,,
理,化学科学与工程学院,1,6,311,439,,,,66,30,12,1,,19,3,5,0,21,4,0,0,2,8,0,1,1,,
理,海洋与地球科学学院,1,6,220,399,,,,82,0,0,0,,16,2,7,0,47,4,0,4,2,9,14,1,3,,
理,生命科学与技术学院,1,7,360,703,,,,96,0,0,0,,16,2,7,0,83,4,0,4,10,16,0,0,2,,
工,机械工程与机器人学院,2,12,1280,1202,,,,97,23,8,1,,22,6,13,0,75,4,0,4,10,6,0,0,1,,
工,测绘与地理信息学院,1,6,341,389,,,,49,5,2,1,,5,1,5,0,15,2,0,2,2,2,0,2,2,,
工,计算机科学与技术学院（软件学院）,2,10,1575,1050,,,,116,33.5,14,1,,10,5,11,0,24,1,0,6,1,3,0,1,6,,
工,汽车与能源学院,2,10,865,1438,,,,273,0,0,0,,48,18,24,3,0,18,9,99,87,0,0,9,6,,
工,材料科学与工程学院,1,6,573,820,,,,91,2,1,1,,17,3,7,1,32,6,0,0,0,15,0,0,5,,
工,电子与信息工程学院,2,15,1749,1877,,,,188,14,5,1,,21,6,15,0,24,4,0,10,12,9,0,0,6,,
工,环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,2,14,486,1598,,,,308,0,0,0,,36,14,22,0,132,14,0,32,26,16,0,4,12,,
工,土木工程学院,5,23,1232,3420,,,,574,7,3,1,,84,24,46,0,412,16,2,108,136,30,0,6,28,,
工,交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,2,21,1142,1767,,,,372,0,0,0,,108,12,46,2,104,4,4,14,78,24,4,0,26,,
工,建筑与城市规划学院,3,21,1289,1585,,,,213,0,0,0,,10,10,17,0,68,7,2,36,1,4,0,1,10,,
工,航空航天与力学学院,1,5,450,388,,,,72,17,5,1,,15,1,6,0,15,4,0,2,4,11,1,0,1,,
工,中德工程学院，职业技术教育学院,1,7,555,449,,,,60,0,0,0,,12,6,16,0,0,2,0,24,2,0,0,0,0,,
医,医学院,4,15,1460,3569,,,,137,0,0,0,,38,9,13,0,311,7,5,41,22,11,1,6,8,,
文,设计创意学院,1,7,589,432,,,,51,0,0,0,,0,3,5,0,18,4,0,26,4,4,9,1,2,,
文,人文学院,1,6,382,696,,,,91,2,1,1,,0,4,5,0,30,1,0,1,0,0,0,0,2,,
文,外国语学院,1,11,436,377,,,,154,54,25,1,,6,2,12,0,7,3,0,1,0,0,0,0,4,,
文,经济与管理学院,2,23,1537,5430,,,,164,2,1,1,,1,7,27,0,54,1,0,97,2,3,0,1,8,,
文,政治与国际关系学院,1,4,261,394,,,,48,0,0,0,,0,2,6,0,0,0,0,0,0,0,0,1,0,,
文,艺术与传媒学院,1,8,830,281,,,,73,6,2,1,,1,4,8,1,0,5,0,1,0,0,0,0,1,,
文,上海国际知识产权学院,1,4,0,337,,,,25,0,0,0,,0,2,4,0,0,2,0,2,0,1,0,0,0,,
文,马克思主义学院,1,8,111,1176,,,,70,25,13,1,,0,2,8,0,2,4,0,0,0,0,0,0,0,,
文,国际文化交流学院,1,4,201,124,,,,24,0,0,0,,0,3,4,0,0,0,5,12,0,0,0,0,0,,
文,法学院,1,5,348,896,,,,45,0,0,0,,1,3,4,0,0,1,1,5,0,0,0,0,0,,
文,体育部（国际足球学院）,1,14,203,161,,,,190,0,0,0,,0,4,24,2,0,8,0,90,0,0,0,0,0,,
医,医学与生命科学部,1,3,0,0,,,,0,0,0,0,,0,0,3,0,0,0,0,0,0,0,0,0,0,,
文,出国培训学院，留德预备部,0,0,0,0,,,,12,0,0,0,,2,0,0,0,0,0,0,12,0,0,0,0,0,,
文,网络教育学院，继续教育学院,1,9,0,0,,,,16,0,0,0,,0,0,28,0,0,0,0,66,8,0,0,0,0,,
文,中德学院,1,3,0,5,,,,1,0,0,0,,0,1,3,0,0,0,0,4,0,0,0,0,0,,
文,创新创业学院,1,6,0,0,,,,1,0,0,0,,7,0,6,11,0,2,0,0,0,0,0,0,0,,
工,新生院,1,6,277,0,,,,0,0,0,0,,0,21,7,0,0,0,0,0,0,0,0,0,0,,
工,国豪书院（未来技术学院）,2,5,1214,0,,,,0,0,0,0,,0,4,3,0,0,3,0,0,0,0,0,0,0,,
工,国家卓越工程师学院，国际工程师学院,1,4,0,0,,,,0,0,0,0,,0,2,0,0,0,4,0,0,1,0,0,0,0,,
工,中意工程创新学院,1,0,6,0,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,
工,启迪书院,1,0,0,0,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,
医,口腔医学院,1,0,270,187,,,,0,0,0,0,,2,0,2,0,34,0,0,0,0,0,0,0,0,,
工,上海自主智能无人系统科学中心,2,7,0,291,,,,4,0,0,0,,0,2,12,0,0,4,0,10,10,0,0,0,0,,
文,同济大学上海国际设计创新学院,0,0,0,179,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,,
