部门名称,聚类标签,2026实际编制,聚类+部分池化预测(含组织员),官方参数1_backup,官方参数2_backup,正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,组0,6,5.96,10.18,11.0,0.99,1.49,2.48
数学科学学院,组0,6,5.99,7.8,8.0,1.0,1.5,2.5
化学科学与工程学院,组0,7,6.75,6.69,7.0,1.15,1.72,2.87
海洋与地球科学学院,组0,8,7.94,7.93,9.0,1.39,2.08,3.47
生命科学与技术学院,组0,8,8.48,9.98,11.0,1.5,2.24,3.74
机械工程与机器人学院,组0,11,11.13,9.49,9.0,1.83,2.74,4.56
测绘与地理信息学院,组0,5,5.54,6.46,7.0,0.91,1.36,2.27
计算机科学与技术学院（软件学院）,组0,12,11.86,14.39,14.0,1.97,2.96,4.93
汽车与能源学院,组2,11,11.01,13.65,13.0,1.8,2.7,4.5
材料科学与工程学院,组0,9,9.07,9.59,10.0,1.61,2.42,4.04
电子与信息工程学院,组0,16,15.77,21.17,21.0,2.75,4.13,6.89
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,组1,17,16.95,14.7,15.0,2.99,4.48,7.47
土木工程学院,组1,27,26.88,26.05,25.0,4.38,6.56,10.94
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,组0,20,20.14,18.55,18.0,3.63,5.44,9.07
建筑与城市规划学院,组0,20,20.16,19.98,20.0,3.43,5.15,8.58
航空航天与力学学院,组0,7,6.97,7.92,9.0,1.19,1.79,2.99
中德工程学院，职业技术教育学院,组0,5,5.19,null,null,0.84,1.26,2.1
医学院,组0,22,21.72,20.15,18.0,3.54,5.31,8.86
设计创意学院,组0,9,9.03,6.51,7.0,1.61,2.41,4.01
人文学院,组0,7,7.08,8.06,9.0,1.22,1.82,3.04
外国语学院,组0,12,12.02,11.14,12.0,2.2,3.31,5.51
经济与管理学院,组0,22,22.14,16.44,16.0,4.03,6.04,10.07
政治与国际关系学院,组0,3,3.74,5.0,6.0,0.55,0.82,1.37
艺术与传媒学院,组0,7,7.06,7.83,8.0,1.21,1.82,3.03
上海国际知识产权学院,组0,4,3.94,3.6,4.0,0.59,0.88,1.47
马克思主义学院,组0,8,8.07,5.89,7.0,1.41,2.12,3.53
国际文化交流学院,组0,4,4.27,3.0,4.0,0.65,0.98,1.63
法学院,组0,6,5.75,5.72,6.0,0.95,1.43,2.38
体育部（国际足球学院）,组0,11,11.06,7.38,8.0,2.01,3.02,5.03
医学与生命科学部,全0,2,2.0,null,null,0.2,0.3,0.5
出国培训学院，留德预备部,组0,0,0.0,null,null,0.0,0.0,0.0
网络教育学院，继续教育学院,全0,9,9.0,null,null,1.6,2.4,4.0
中德学院,全0,3,3.0,null,null,0.4,0.6,1.0
创新创业学院,组0,8,7.31,null,null,1.26,1.89,3.16
新生院,组0,3,2.31,null,null,0.26,0.39,0.65
国豪书院（未来技术学院）,组0,8,8.54,null,null,1.31,1.96,3.27
国家卓越工程师学院，国际工程师学院,组0,7,8.07,null,null,1.41,2.12,3.53
中意工程创新学院,组0,4,2.07,null,null,0.21,0.32,0.53
启迪书院,组0,4,4.92,null,null,0.78,1.18,1.96
口腔医学院,组0,0,0.0,null,null,0.0,0.0,0.0
上海自主智能无人系统科学中心,组0,11,10.81,null,null,1.76,2.64,4.4
同济大学上海国际设计创新学院,组0,0,0.0,null,null,0.0,0.0,0.0
