部门名称,官方参数1_backup,官方参数2_backup,2026实际编制,本_研_师_在编_高研院_聚类标签,本_研_师_在编_高研院_预测,本_研_师_在编_高研院_vs参数1差值,本_研_师_在编_高研院_vs参数2差值,本_研_师_公课数量_在编_高研院_聚类标签,本_研_师_公课数量_在编_高研院_预测,本_研_师_公课数量_在编_高研院_vs参数1差值,本_研_师_公课数量_在编_高研院_vs参数2差值,本_研_师_是否公课_在编_高研院_聚类标签,本_研_师_是否公课_在编_高研院_预测,本_研_师_是否公课_在编_高研院_vs参数1差值,本_研_师_是否公课_在编_高研院_vs参数2差值
物理科学与工程学院,10.18,11.0,6,组0,5.96,-4.22,-5.04,组0,5.96,-4.22,-5.04,组0,5.96,-4.22,-5.04
数学科学学院,7.8,8.0,6,组0,5.99,-1.81,-2.01,组0,5.99,-1.81,-2.01,组0,5.99,-1.81,-2.01
化学科学与工程学院,6.69,7.0,7,组0,6.75,0.06,-0.25,组0,6.75,0.06,-0.25,组0,6.75,0.06,-0.25
海洋与地球科学学院,7.93,9.0,8,组0,7.94,0.01,-1.06,组0,7.94,0.01,-1.06,组0,7.94,0.01,-1.06
生命科学与技术学院,9.98,11.0,8,组0,8.48,-1.5,-2.52,组0,8.48,-1.5,-2.52,组0,8.48,-1.5,-2.52
机械工程与机器人学院,9.49,9.0,11,组0,11.13,1.64,2.13,组0,11.13,1.64,2.13,组0,11.13,1.64,2.13
测绘与地理信息学院,6.46,7.0,5,组0,5.54,-0.92,-1.46,组0,5.54,-0.92,-1.46,组0,5.54,-0.92,-1.46
计算机科学与技术学院（软件学院）,14.39,14.0,12,组0,11.86,-2.53,-2.14,组0,11.86,-2.53,-2.14,组0,11.86,-2.53,-2.14
汽车与能源学院,13.65,13.0,11,组2,11.01,-2.64,-1.99,组2,11.01,-2.64,-1.99,组2,11.01,-2.64,-1.99
材料科学与工程学院,9.59,10.0,9,组0,9.07,-0.51,-0.93,组0,9.07,-0.51,-0.93,组0,9.07,-0.51,-0.93
电子与信息工程学院,21.17,21.0,16,组0,15.77,-5.39,-5.23,组0,15.77,-5.39,-5.23,组0,15.77,-5.39,-5.23
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,14.7,15.0,17,组1,16.95,2.24,1.95,组1,16.95,2.24,1.95,组1,16.95,2.24,1.95
土木工程学院,26.05,25.0,27,组1,26.88,0.83,1.88,组1,26.88,0.83,1.88,组1,26.88,0.83,1.88
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,18.55,18.0,20,组0,20.14,1.59,2.14,组0,20.14,1.59,2.14,组0,20.14,1.59,2.14
建筑与城市规划学院,19.98,20.0,20,组0,20.16,0.18,0.16,组0,20.16,0.18,0.16,组0,20.16,0.18,0.16
航空航天与力学学院,7.92,9.0,7,组0,6.97,-0.95,-2.03,组0,6.97,-0.95,-2.03,组0,6.97,-0.95,-2.03
