大类,部门名称,组织员人数,编制人数,本科生,研究生,留学生人数,长期留学生人数,折合学生数,在编-教师,公共课学分,公共课数量,是否公共课,预算约束人数,在编-教辅,在编-思政,在编-管理,在编-工勤,博士后,双轨制,学校经费派遣,部门经费派遣,项目经费派遣,可上报高研院,不可上报高研院,可上报柔性,不可上报柔性,劳动合同制专职科研人员,一年制科研助理
理,物理科学与工程学院,1,6,522,565,17,7,1372.3,108,40.5,15,1,10,20,1,7,1,31,4,0,0,28,6,0,2,3,7,2
理,数学科学学院,1,7,482,274,16,6,895.4,82,101,22,1,7,2,1,6,0,13,4,0,1,0,7,0,0,0,0,0
理,化学科学与工程学院,1,6,271,412,5,5,891,63,30,12,1,7,15,4,5,0,27,4,0,0,1,7,0,1,1,0,0
理,海洋与地球科学学院,1,7,207,382,22,22,788.8,85,0,0,0,8,19,2,7,0,39,7,0,3,4,7,10,1,3,0,1
理,生命科学与技术学院,1,8,336,662,17,10,1333,104,0,0,0,11,16,2,6,0,100,6,0,4,13,15,0,0,2,0,5
工,机械工程与机器人学院,2,13,1189,949,50,47,2631.3,98,23,8,1,16,21,6,12,0,87,7,0,5,12,6,0,0,3,0,1
工,测绘与地理信息学院,1,6,348,396,14,2,942.8,53,5,2,1,6,5,2,6,0,21,2,0,2,4,3,0,3,2,0,2
工,计算机科学与技术学院（软件学院）,2,10,1440,933,116,87,2874.3,121,33.5,14,1,15,10,7,10,0,30,2,0,10,2,6,0,1,8,0,2
工,汽车与能源学院,2,11,841,1024,13,8,2380.2,270,0,0,0,13,51,15,24,3,0,12,9,108,78,0,0,6,6,0,21
工,材料科学与工程学院,1,10,499,716,15,15,1579,92,2,1,1,11,16,2,9,1,28,5,0,0,0,16,0,0,5,0,0
工,电子与信息工程学院,2,15,1687,1247,161,95,3595.5,203,14,5,1,20,21,8,14,0,38,5,0,10,12,10,0,0,7,4,5
工,环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,2,16,377,1208,244,198,2268.2,318,0,0,0,16,38,14,24,0,120,12,0,32,30,14,0,4,14,8,6
工,土木工程学院,5,25,859,2611,481,368,4922.7,558,7,3,1,33,86,22,46,0,482,16,2,114,134,34,0,8,28,6,6
工,交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,2,21,996,1509,103,46,3277.9,191,0,0,0,22,51,8,20,1,56,3,2,15,30,8,2,0,14,2,4
