部门名称,聚类标签,2026实际编制,部分池化预测(含组织员),官方参数1_backup,官方参数2_backup,正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,组2,6,7.67,10.18,11.0,1.33,2.0,3.34
数学科学学院,组2,6,6.58,7.8,8.0,1.12,1.67,2.79
化学科学与工程学院,组2,7,6.98,6.69,7.0,1.2,1.79,2.99
海洋与地球科学学院,组2,8,8.08,7.93,9.0,1.42,2.12,3.54
生命科学与技术学院,组2,8,8.96,9.98,11.0,1.59,2.39,3.98
机械工程与机器人学院,组2,11,10.17,9.49,9.0,1.63,2.45,4.09
测绘与地理信息学院,组2,5,5.71,6.46,7.0,0.94,1.41,2.35
计算机科学与技术学院（软件学院）,组1,12,12.38,14.39,14.0,2.08,3.11,5.19
汽车与能源学院,组1,11,12.64,13.65,13.0,2.13,3.19,5.32
材料科学与工程学院,组2,9,9.25,9.59,10.0,1.65,2.48,4.13
电子与信息工程学院,组1,16,16.71,21.17,21.0,2.94,4.41,7.35
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,组1,17,16.71,14.7,15.0,2.94,4.41,7.36
土木工程学院,组1,27,26.53,26.05,25.0,4.31,6.46,10.76
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,组1,20,19.62,18.55,18.0,3.52,5.29,8.81
建筑与城市规划学院,组1,20,20.26,19.98,20.0,3.45,5.18,8.63
航空航天与力学学院,组2,7,7.27,7.92,9.0,1.25,1.88,3.13
中德工程学院，职业技术教育学院,组2,5,4.91,null,null,0.78,1.17,1.96
医学院,组1,22,21.93,20.15,18.0,3.59,5.38,8.97
设计创意学院,组2,9,7.83,6.51,7.0,1.37,2.05,3.41
人文学院,组2,7,7.4,8.06,9.0,1.28,1.92,3.2
外国语学院,组2,12,11.34,11.14,12.0,2.07,3.1,5.17
经济与管理学院,组1,22,18.95,16.44,16.0,3.39,5.09,8.48
政治与国际关系学院,组0,3,4.35,5.0,6.0,0.67,1.0,1.67
艺术与传媒学院,组2,7,7.05,7.83,8.0,1.21,1.81,3.02
上海国际知识产权学院,组0,4,4.62,3.6,4.0,0.72,1.09,1.81
马克思主义学院,组0,8,7.06,5.89,7.0,1.21,1.82,3.03
国际文化交流学院,组0,4,4.23,3.0,4.0,0.65,0.97,1.61
法学院,组2,6,5.95,5.72,6.0,0.99,1.49,2.48
体育部（国际足球学院）,组2,11,9.4,7.38,8.0,1.68,2.52,4.2
医学与生命科学部,全0,2,2.0,null,null,0.2,0.3,0.5
出国培训学院，留德预备部,组0,0,2.22,null,null,0.44,0.66,1.11
网络教育学院，继续教育学院,组0,9,6.27,null,null,1.05,1.58,2.63
中德学院,组0,3,4.53,null,null,0.71,1.06,1.76
创新创业学院,组0,8,4.74,null,null,0.75,1.12,1.87
新生院,组0,3,3.44,null,null,0.49,0.73,1.22
国豪书院（未来技术学院）,组2,8,7.58,null,null,1.12,1.67,2.79
国家卓越工程师学院，国际工程师学院,全0,7,7.0,null,null,1.2,1.8,3.0
中意工程创新学院,全0,4,4.0,null,null,0.6,0.9,1.5
启迪书院,组0,4,3.89,null,null,0.58,0.87,1.45
口腔医学院,组0,0,2.19,null,null,0.24,0.36,0.59
上海自主智能无人系统科学中心,组0,11,7.7,null,null,1.14,1.71,2.85
同济大学上海国际设计创新学院,组0,0,2.29,null,null,0.46,0.69,1.14
