部门名称,聚类标签,2026实际编制,部分池化预测(含组织员),官方参数1_backup,官方参数2_backup,正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,组2,6,8.14,10.18,11.0,1.43,2.14,3.57
数学科学学院,组2,6,6.95,7.8,8.0,1.19,1.79,2.98
化学科学与工程学院,组2,7,6.88,6.69,7.0,1.18,1.76,2.94
海洋与地球科学学院,组1,8,7.98,7.93,9.0,1.4,2.09,3.49
生命科学与技术学院,组1,8,8.71,9.98,11.0,1.54,2.31,3.85
机械工程与机器人学院,组2,11,9.7,9.49,9.0,1.54,2.31,3.85
测绘与地理信息学院,组1,5,5.7,6.46,7.0,0.94,1.41,2.35
计算机科学与技术学院（软件学院）,组2,12,11.83,14.39,14.0,1.97,2.95,4.92
汽车与能源学院,组0,11,12.94,13.65,13.0,2.19,3.28,5.47
材料科学与工程学院,组1,9,9.1,9.59,10.0,1.62,2.43,4.05
电子与信息工程学院,组0,16,17.09,21.17,21.0,3.02,4.53,7.55
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,组0,17,16.55,14.7,15.0,2.91,4.36,7.27
土木工程学院,组0,27,26.38,26.05,25.0,4.28,6.41,10.69
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,组0,20,19.51,18.55,18.0,3.5,5.25,8.76
建筑与城市规划学院,组0,20,20.12,19.98,20.0,3.42,5.14,8.56
航空航天与力学学院,组1,7,7.15,7.92,9.0,1.23,1.85,3.08
中德工程学院，职业技术教育学院,组1,5,5.1,null,null,0.82,1.23,2.05
医学院,组0,22,21.98,20.15,18.0,3.6,5.39,8.99
设计创意学院,组1,9,8.0,6.51,7.0,1.4,2.1,3.5
人文学院,组1,7,7.3,8.06,9.0,1.26,1.89,3.15
外国语学院,组2,12,10.66,11.14,12.0,1.93,2.9,4.83
经济与管理学院,组0,22,18.78,16.44,16.0,3.36,5.03,8.39
政治与国际关系学院,组1,3,4.17,5.0,6.0,0.63,0.95,1.58
艺术与传媒学院,组1,7,7.06,7.83,8.0,1.21,1.82,3.03
上海国际知识产权学院,组1,4,4.55,3.6,4.0,0.71,1.07,1.78
马克思主义学院,组2,8,6.89,5.89,7.0,1.18,1.77,2.94
国际文化交流学院,组1,4,4.26,3.0,4.0,0.65,0.98,1.63
法学院,组1,6,6.06,5.72,6.0,1.01,1.52,2.53
体育部（国际足球学院）,组1,11,9.39,7.38,8.0,1.68,2.52,4.19
医学与生命科学部,全0,2,2.0,null,null,0.2,0.3,0.5
出国培训学院，留德预备部,组1,0,1.73,null,null,0.35,0.52,0.86
网络教育学院，继续教育学院,组1,9,6.95,null,null,1.19,1.79,2.98
中德学院,组1,3,4.71,null,null,0.74,1.11,1.86
创新创业学院,组1,8,4.98,null,null,0.8,1.2,1.99
新生院,组1,3,3.39,null,null,0.48,0.72,1.2
国豪书院（未来技术学院）,组1,8,7.43,null,null,1.09,1.63,2.71
国家卓越工程师学院，国际工程师学院,全0,7,7.0,null,null,1.2,1.8,3.0
中意工程创新学院,全0,4,4.0,null,null,0.6,0.9,1.5
启迪书院,组1,4,4.11,null,null,0.62,0.93,1.55
口腔医学院,组1,0,1.85,null,null,0.17,0.25,0.42
上海自主智能无人系统科学中心,组1,11,8.6,null,null,1.32,1.98,3.3
同济大学上海国际设计创新学院,组1,0,1.82,null,null,0.36,0.55,0.91
