部门名称,聚类标签,2026实际编制,部分池化预测(含组织员),官方参数1_backup,官方参数2_backup,正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,组1,6,8.26,10.18,11.0,1.45,2.18,3.63
数学科学学院,组1,6,6.98,7.8,8.0,1.2,1.79,2.99
化学科学与工程学院,组1,7,6.86,6.69,7.0,1.17,1.76,2.93
海洋与地球科学学院,组0,8,7.85,7.93,9.0,1.37,2.06,3.43
生命科学与技术学院,组0,8,8.82,9.98,11.0,1.56,2.35,3.91
机械工程与机器人学院,组1,11,9.51,9.49,9.0,1.5,2.25,3.76
测绘与地理信息学院,组0,5,5.7,6.46,7.0,0.94,1.41,2.35
计算机科学与技术学院（软件学院）,组1,12,11.77,14.39,14.0,1.95,2.93,4.89
汽车与能源学院,组2,11,13.19,13.65,13.0,2.24,3.36,5.59
材料科学与工程学院,组0,9,9.01,9.59,10.0,1.6,2.4,4.0
电子与信息工程学院,组2,16,17.16,21.17,21.0,3.03,4.55,7.58
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,组2,17,16.36,14.7,15.0,2.87,4.31,7.18
土木工程学院,组2,27,26.36,26.05,25.0,4.27,6.41,10.68
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,组2,20,19.11,18.55,18.0,3.42,5.13,8.56
建筑与城市规划学院,组2,20,19.98,19.98,20.0,3.4,5.09,8.49
航空航天与力学学院,组0,7,7.07,7.92,9.0,1.21,1.82,3.03
中德工程学院，职业技术教育学院,组0,5,5.43,null,null,0.89,1.33,2.22
医学院,组2,22,21.85,20.15,18.0,3.57,5.35,8.92
设计创意学院,组0,9,8.36,6.51,7.0,1.47,2.21,3.68
人文学院,组0,7,7.26,8.06,9.0,1.25,1.88,3.13
外国语学院,组1,12,10.61,11.14,12.0,1.92,2.88,4.81
经济与管理学院,组2,22,19.38,16.44,16.0,3.48,5.21,8.69
政治与国际关系学院,组0,3,4.18,5.0,6.0,0.64,0.95,1.59
艺术与传媒学院,组0,7,7.01,7.83,8.0,1.2,1.8,3.01
上海国际知识产权学院,组0,4,4.51,3.6,4.0,0.7,1.05,1.76
马克思主义学院,组1,8,7.0,5.89,7.0,1.2,1.8,3.0
国际文化交流学院,组0,4,4.23,3.0,4.0,0.65,0.97,1.61
法学院,组0,6,5.97,5.72,6.0,0.99,1.49,2.49
体育部（国际足球学院）,组0,11,9.29,7.38,8.0,1.66,2.49,4.14
医学与生命科学部,全0,2,2.0,null,null,0.2,0.3,0.5
出国培训学院，留德预备部,组0,0,1.71,null,null,0.34,0.51,0.85
网络教育学院，继续教育学院,组0,9,6.93,null,null,1.19,1.78,2.97
中德学院,组0,3,4.69,null,null,0.74,1.11,1.85
创新创业学院,组0,8,4.96,null,null,0.79,1.19,1.98
新生院,组0,3,3.37,null,null,0.47,0.71,1.19
国豪书院（未来技术学院）,组0,8,7.28,null,null,1.06,1.58,2.64
国家卓越工程师学院，国际工程师学院,全0,7,7.0,null,null,1.2,1.8,3.0
中意工程创新学院,全0,4,4.0,null,null,0.6,0.9,1.5
启迪书院,组0,4,4.05,null,null,0.61,0.92,1.53
口腔医学院,组0,0,1.81,null,null,0.16,0.24,0.4
上海自主智能无人系统科学中心,组0,11,8.73,null,null,1.35,2.02,3.37
同济大学上海国际设计创新学院,组0,0,1.79,null,null,0.36,0.54,0.9
