部门名称,聚类标签,2026实际编制,部分池化预测(含组织员),官方参数1_backup,官方参数2_backup,正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,组1,6,8.13,10.18,11.0,1.43,2.14,3.56
数学科学学院,组1,6,6.61,7.8,8.0,1.12,1.68,2.8
化学科学与工程学院,组1,7,6.84,6.69,7.0,1.17,1.75,2.92
海洋与地球科学学院,组0,8,8.03,7.93,9.0,1.41,2.11,3.52
生命科学与技术学院,组0,8,8.85,9.98,11.0,1.57,2.35,3.92
机械工程与机器人学院,组1,11,10.06,9.49,9.0,1.61,2.42,4.03
测绘与地理信息学院,组1,5,5.77,6.46,7.0,0.95,1.43,2.39
计算机科学与技术学院（软件学院）,组2,12,12.45,14.39,14.0,2.09,3.14,5.23
汽车与能源学院,组2,11,12.65,13.65,13.0,2.13,3.2,5.33
材料科学与工程学院,组1,9,9.4,9.59,10.0,1.68,2.52,4.2
电子与信息工程学院,组2,16,16.92,21.17,21.0,2.98,4.48,7.46
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,组2,17,16.6,14.7,15.0,2.92,4.38,7.3
土木工程学院,组2,27,26.76,26.05,25.0,4.35,6.53,10.88
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,组2,20,19.23,18.55,18.0,3.45,5.17,8.62
建筑与城市规划学院,组2,20,19.96,19.98,20.0,3.39,5.09,8.48
航空航天与力学学院,组1,7,7.26,7.92,9.0,1.25,1.88,3.13
中德工程学院，职业技术教育学院,组0,5,5.03,null,null,0.81,1.21,2.01
医学院,组2,22,21.73,20.15,18.0,3.55,5.32,8.87
设计创意学院,组0,9,7.83,6.51,7.0,1.37,2.05,3.41
人文学院,组1,7,7.39,8.06,9.0,1.28,1.92,3.19
外国语学院,组1,12,11.12,11.14,12.0,2.02,3.04,5.06
经济与管理学院,组2,22,19.16,16.44,16.0,3.43,5.15,8.58
政治与国际关系学院,组0,3,4.29,5.0,6.0,0.66,0.99,1.65
艺术与传媒学院,组1,7,6.95,7.83,8.0,1.19,1.79,2.98
上海国际知识产权学院,组0,4,4.63,3.6,4.0,0.73,1.09,1.81
马克思主义学院,组1,8,6.92,5.89,7.0,1.18,1.78,2.96
国际文化交流学院,组0,4,4.3,3.0,4.0,0.66,0.99,1.65
法学院,组0,6,6.04,5.72,6.0,1.01,1.51,2.52
体育部（国际足球学院）,组0,11,9.28,7.38,8.0,1.66,2.48,4.14
医学与生命科学部,全0,2,2.0,null,null,0.2,0.3,0.5
出国培训学院，留德预备部,组0,0,1.94,null,null,0.39,0.58,0.97
网络教育学院，继续教育学院,组0,9,6.73,null,null,1.15,1.72,2.87
中德学院,组0,3,4.67,null,null,0.73,1.1,1.83
创新创业学院,组0,8,4.92,null,null,0.78,1.18,1.96
新生院,组0,3,3.43,null,null,0.49,0.73,1.22
国豪书院（未来技术学院）,组0,8,7.33,null,null,1.07,1.6,2.66
国家卓越工程师学院，国际工程师学院,全0,7,7.0,null,null,1.2,1.8,3.0
中意工程创新学院,全0,4,4.0,null,null,0.6,0.9,1.5
启迪书院,组0,4,4.04,null,null,0.61,0.91,1.52
口腔医学院,组0,0,1.99,null,null,0.2,0.3,0.49
上海自主智能无人系统科学中心,组0,11,8.3,null,null,1.26,1.89,3.15
同济大学上海国际设计创新学院,组0,0,2.01,null,null,0.4,0.6,1.01
