部门名称,聚类标签,2026实际编制,部分池化预测(含组织员),官方参数1_backup,官方参数2_backup,正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,组1,6,8.1,10.18,11.0,1.42,2.13,3.55
数学科学学院,组1,6,6.55,7.8,8.0,1.11,1.67,2.78
化学科学与工程学院,组1,7,6.83,6.69,7.0,1.17,1.75,2.92
海洋与地球科学学院,组0,8,7.93,7.93,9.0,1.39,2.08,3.47
生命科学与技术学院,组0,8,8.98,9.98,11.0,1.6,2.39,3.99
机械工程与机器人学院,组1,11,9.86,9.49,9.0,1.57,2.36,3.93
测绘与地理信息学院,组1,5,5.89,6.46,7.0,0.98,1.47,2.45
计算机科学与技术学院（软件学院）,组1,12,12.11,14.39,14.0,2.02,3.03,5.05
汽车与能源学院,组2,11,12.95,13.65,13.0,2.19,3.29,5.48
材料科学与工程学院,组1,9,9.26,9.59,10.0,1.65,2.48,4.13
电子与信息工程学院,组2,16,17.2,21.17,21.0,3.04,4.56,7.6
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,组2,17,16.34,14.7,15.0,2.87,4.3,7.17
土木工程学院,组2,27,26.55,26.05,25.0,4.31,6.47,10.78
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,组2,20,18.92,18.55,18.0,3.38,5.08,8.46
建筑与城市规划学院,组2,20,19.91,19.98,20.0,3.38,5.07,8.46
航空航天与力学学院,组1,7,7.15,7.92,9.0,1.23,1.85,3.08
中德工程学院，职业技术教育学院,组0,5,5.42,null,null,0.88,1.33,2.21
医学院,组2,22,21.7,20.15,18.0,3.54,5.31,8.85
设计创意学院,组0,9,8.26,6.51,7.0,1.45,2.18,3.63
人文学院,组1,7,7.42,8.06,9.0,1.28,1.93,3.21
外国语学院,组1,12,10.86,11.14,12.0,1.97,2.96,4.93
经济与管理学院,组2,22,19.59,16.44,16.0,3.52,5.28,8.79
政治与国际关系学院,组0,3,4.34,5.0,6.0,0.67,1.0,1.67
艺术与传媒学院,组1,7,7.03,7.83,8.0,1.21,1.81,3.02
上海国际知识产权学院,组0,4,4.58,3.6,4.0,0.72,1.07,1.79
马克思主义学院,组1,8,7.13,5.89,7.0,1.23,1.84,3.06
国际文化交流学院,组0,4,4.25,3.0,4.0,0.65,0.98,1.63
法学院,组0,6,6.01,5.72,6.0,1.0,1.5,2.5
体育部（国际足球学院）,组0,11,9.18,7.38,8.0,1.64,2.46,4.09
医学与生命科学部,全0,2,2.0,null,null,0.2,0.3,0.5
出国培训学院，留德预备部,组0,0,1.87,null,null,0.37,0.56,0.94
网络教育学院，继续教育学院,组0,9,6.67,null,null,1.13,1.7,2.83
中德学院,组0,3,4.6,null,null,0.72,1.08,1.8
创新创业学院,组0,8,4.85,null,null,0.77,1.16,1.93
新生院,组0,3,3.38,null,null,0.48,0.71,1.19
国豪书院（未来技术学院）,组0,8,7.13,null,null,1.03,1.54,2.56
国家卓越工程师学院，国际工程师学院,全0,7,7.0,null,null,1.2,1.8,3.0
中意工程创新学院,全0,4,4.0,null,null,0.6,0.9,1.5
启迪书院,组0,4,4.02,null,null,0.6,0.91,1.51
口腔医学院,组0,0,1.98,null,null,0.2,0.29,0.49
上海自主智能无人系统科学中心,组0,11,8.45,null,null,1.29,1.93,3.22
同济大学上海国际设计创新学院,组0,0,1.97,null,null,0.39,0.59,0.98
