部门名称,官方参数1_backup,官方参数2_backup,2026实际编制,本_研_师_是否公课_一年制_聚类标签,本_研_师_是否公课_一年制_预测,本_研_师_是否公课_一年制_vs参数1差值,本_研_师_是否公课_一年制_vs参数2差值,本_研_师_是否公课_聚类标签,本_研_师_是否公课_预测,本_研_师_是否公课_vs参数1差值,本_研_师_是否公课_vs参数2差值,本_研_师_公课数量_一年制_聚类标签,本_研_师_公课数量_一年制_预测,本_研_师_公课数量_一年制_vs参数1差值,本_研_师_公课数量_一年制_vs参数2差值
物理科学与工程学院,10.18,11.0,6,组1,8.1,-2.08,-2.9,组1,8.13,-2.05,-2.87,组1,8.26,-1.91,-2.74
数学科学学院,7.8,8.0,6,组1,6.55,-1.25,-1.45,组1,6.61,-1.2,-1.39,组1,6.98,-0.83,-1.02
化学科学与工程学院,6.69,7.0,7,组1,6.83,0.15,-0.17,组1,6.84,0.15,-0.16,组1,6.86,0.18,-0.14
海洋与地球科学学院,7.93,9.0,8,组0,7.93,-0.0,-1.07,组0,8.03,0.1,-0.97,组0,7.85,-0.08,-1.15
生命科学与技术学院,9.98,11.0,8,组0,8.98,-1.0,-2.02,组0,8.85,-1.13,-2.15,组0,8.82,-1.16,-2.18
机械工程与机器人学院,9.49,9.0,11,组1,9.86,0.37,0.86,组1,10.06,0.57,1.06,组1,9.51,0.02,0.51
测绘与地理信息学院,6.46,7.0,5,组1,5.89,-0.57,-1.11,组1,5.77,-0.69,-1.23,组0,5.7,-0.76,-1.3
计算机科学与技术学院（软件学院）,14.39,14.0,12,组1,12.11,-2.29,-1.89,组2,12.45,-1.94,-1.55,组1,11.77,-2.62,-2.23
汽车与能源学院,13.65,13.0,11,组2,12.95,-0.69,-0.05,组2,12.65,-1.0,-0.35,组2,13.19,-0.46,0.19
材料科学与工程学院,9.59,10.0,9,组1,9.26,-0.32,-0.74,组1,9.4,-0.19,-0.6,组0,9.01,-0.58,-0.99
电子与信息工程学院,21.17,21.0,16,组2,17.2,-3.97,-3.8,组2,16.92,-4.25,-4.08,组2,17.16,-4.0,-3.84
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,14.7,15.0,17,组2,16.34,1.64,1.34,组2,16.6,1.9,1.6,组2,16.36,1.66,1.36
土木工程学院,26.05,25.0,27,组2,26.55,0.5,1.55,组2,26.76,0.71,1.76,组2,26.36,0.31,1.36
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,18.55,18.0,20,组2,18.92,0.37,0.92,组2,19.23,0.69,1.23,组2,19.11,0.56,1.11
