大类,部门名称,编制人数,本科生,研究生,在编-教师,预算约束人数
理,物理科学与工程学院,5,371,1097,89,10
理,数学科学学院,2,415,645,84,7
理,化学科学与工程学院,3,296,1176,65,7
理,海洋与地球科学学院,4,162,890,77,8
理,生命科学与技术学院,6,326,1095,84,11
工,机械工程与机器人学院,13,1202,3307,109,16
工,测绘与地理信息学院,5,368,776,47,6
工,计算机科学与技术学院（软件学院）,1,863,3867,39,15
工,汽车与能源学院,7,942,2661,178,13
工,材料科学与工程学院,5,465,1751,93,11
工,电子与信息工程学院,16,2429,6979,248,20
工,环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,10,669,3812,310,16
工,土木工程学院,18,2067,10043,586,33
工,交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,19,1185,4637,880,22
工,建筑与城市规划学院,17,1582,5974,218,22
工,航空航天与力学学院,5,341,664,71,7
工,中德工程学院，职业技术教育学院,5,563,769,15,5
医,医学院,11,1187,6069,134,30
文,设计创意学院,5,624,811,48,8
文,人文学院,4,405,983,87,7
文,外国语学院,9,486,691,156,11
文,经济与管理学院,23,1756,20176,182,21
文,政治与国际关系学院,5,218,545,44,4
文,艺术与传媒学院,4,820,512,70,7
文,上海国际知识产权学院,1,0,431,25,3
文,马克思主义学院,5,66,1333,68,6
文,国际文化交流学院,5,151,141,25,4
文,法学院,3,308,1881,43,4
文,体育部（国际足球学院）,10,111,184,192,8
