大类,部门名称,编制人数,本科生,研究生,留学生人数,在编-教师,公共课学分,公共课数量,预算约束人数
理,物理科学与工程学院,5,522,565,17,108,40.5,15,10
理,数学科学学院,6,482,274,16,82,101,22,7
理,化学科学与工程学院,5,271,412,5,63,30,12,7
理,海洋与地球科学学院,6,207,382,22,85,0,0,8
理,生命科学与技术学院,7,336,662,17,104,0,0,11
工,机械工程与机器人学院,11,1189,949,50,98,23,8,16
工,测绘与地理信息学院,5,348,396,14,53,5,2,6
工,计算机科学与技术学院（软件学院）,8,1440,933,116,121,33.5,14,15
工,汽车与能源学院,9,841,1024,13,270,0,0,13
工,材料科学与工程学院,9,499,716,15,92,2,1,11
工,电子与信息工程学院,11,1687,1247,161,203,14,5,20
工,环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,13,377,1208,244,318,0,0,16
工,土木工程学院,20,859,2611,481,558,7,3,33
工,交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,19,996,1509,103,191,0,0,22
工,建筑与城市规划学院,18,701,1373,711,214,0,0,22
工,航空航天与力学学院,6,438,381,12,73,17,5,7
工,中德工程学院，职业技术教育学院,9,631,107,228,58,0,0,5
医,医学院,15,1147,2883,214,137,0,0,30
文,设计创意学院,7,438,303,176,52,0,0,8
文,人文学院,6,318,367,16,92,2,1,7
文,外国语学院,11,398,287,13,152,54,25,11
文,经济与管理学院,19,862,1271,548,169,2,1,21
文,政治与国际关系学院,4,211,191,66,48,0,0,4
文,艺术与传媒学院,7,604,249,77,75,6,2,7
文,上海国际知识产权学院,3,0,200,77,30,0,0,3
文,马克思主义学院,7,112,241,0,70,25,13,6
文,国际文化交流学院,5,99,23,858,24,0,0,4
文,法学院,5,330,258,41,49,0,0,4
文,体育部（国际足球学院）,11,225,123,6,192,0,0,8
