部门名称,编制人数,官方OLS,GPR预测,偏差,
物理科学与工程学院,5,8.4,8.14,-0.26,3.14
数学科学学院,5,8,6.44,-1.56,1.44
化学科学与工程学院,6,6.9,6.75,-0.15,0.75
海洋与地球科学学院,7,7.2,7.28,0.08,0.28
生命科学与技术学院,7,8.4,8.34,-0.06,1.34
机械工程与机器人学院,9,9.5,8.75,-0.75,-0.25
测绘与地理信息学院,4,6.3,6.34,0.04,2.34
计算机科学与技术学院（软件学院）,10,15.5,13.75,-1.75,3.75
汽车与能源学院,9,10.6,9.89,-0.71,0.89
材料科学与工程学院,8,9.1,8.7,-0.4,0.7
电子与信息工程学院,12,18.6,13.36,-5.24,1.36
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,14,12.5,13.73,1.23,-0.27
土木工程学院,22,17.8,17.6,-0.2,-4.4
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,18,15,14.45,-0.55,-3.55
建筑与城市规划学院,17,16.1,16.24,0.14,-0.76
航空航天与力学学院,6,7.5,7.34,-0.16,1.34
医学院,18,15.8,16.98,1.18,-1.02
设计创意学院,8,5.5,6.14,0.64,-1.86
人文学院,6,7.4,7.23,-0.17,1.23
外国语学院,11,9.5,8.75,-0.75,-2.25
经济与管理学院,19,14.1,16.71,2.61,-2.29
政治与国际关系学院,3,4.4,5.1,0.7,2.1
艺术与传媒学院,6,6.5,6.76,0.26,0.76
马克思主义学院,7,5.8,6.28,0.48,-0.72
国际文化交流学院,4,3.1,5.4,2.3,1.4
法学院,5,4.9,5.12,0.22,0.12
体育部（国际足球学院）,10,6.3,6.54,0.24,-3.46
