大类,部门名称,正科,副科,科级以下,本科生,研究生,党员人数,在编-教师,学科实力指数,是否公共教学,学科热度,教师变动规模,预算约束人数
理,物理科学与工程学院,3,1,1,500,533,338,110,97.75,1,64.47,0.090909091,10
理,数学科学学院,3,1,1,467,257,238,82,85,1,70.675,0.325301205,7
理,化学科学与工程学院,3,1,2,260,395,312,65,80,0,62.41,0.384615385,7
理,海洋与地球科学学院,3,0,4,194,375,326,92,112.5,0,62.02,0.098901099,8
理,生命科学与技术学院,1,1,5,337,644,458,109,117,0,68.68,0.165048544,11
工,机械工程与机器人学院,4,4,1,991,759,490,62,77.5,0,65.795,0.810344828,16
工,测绘与地理信息学院,1,0,3,341,393,253,57,108,0,64.42,0.454545455,6
工,计算机科学与技术学院（软件学院）,4,5,1,1491,816,575,124,87.5,1,79.78,0.666666667,15
工,汽车与能源学院,3,3,3,1021,1132,764,118,74,0,67.96,0.086956522,13
工,材料科学与工程学院,3,2,3,491,688,496,92,80,0,67.375,0.304347826,11
工,电子与信息工程学院,5,3,4,1685,1201,854,219,80.67,0,76.36,0.095238095,20
工,环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,7,3,4,375,1278,905,162,123.5,0,58.2,0.097560976,16
工,土木工程学院,7,5,10,882,2716,2036,273,113.75,0,62.74,-0.065934066,33
工,交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,6,5,7,975,1490,520,192,99,0,69.325,0.063829787,22
工,建筑与城市规划学院,4,5,8,822,1362,978,232,120.25,0,63.08,-0.004329004,22
工,航空航天与力学学院,3,1,2,433,375,276,80,71.5,0,63.135,0.315789474,7
工,中德工程学院，职业技术教育学院,3,3,0,640,94,155,26,74,0,67.96,0,5
医,医学院,5,3,10,1227,2903,1185,139,74,0,75.32,0.267605634,30
文,设计创意学院,3,1,4,470,322,288,55,123.5,0,88.81,0,8
文,人文学院,3,0,3,312,305,246,92,70,0,73.92,0.010638298,7
文,外国语学院,3,3,5,370,249,390,148,90,1,81.47,-0.072847682,11
文,经济与管理学院,6,3,10,931,1240,819,168,97.17,0,66.95,0.052631579,21
文,政治与国际关系学院,2,1,0,211,204,180,46,75,0,67.64,0.063829787,4
文,艺术与传媒学院,3,0,3,618,258,213,75,70,0,81.76,-0.066666667,7
文,上海国际知识产权学院,1,1,1,0,244,139,29,0,0,56.27,0.166666667,3
文,马克思主义学院,3,0,4,112,208,298,67,85,1,68.04,0.176470588,6
文,国际文化交流学院,3,0,1,99,23,0,24,0,0,57.48,0,4
文,法学院,2,1,2,324,238,233,52,75,0,82.38,0.1,4
文,体育部（国际足球学院）,1,2,7,225,119,156,93,0,0,61.08,-0.104166667,8
