大类,部门名称,预算约束人数,约束前_正科,约束前_副科,约束前_科级以下,约束前_合计,约束后_正科,约束后_副科,约束后_科级以下,约束后_合计
理,物理科学与工程学院,10,2.66,1.27,2.67,6.61,2.66,1.27,2.67,6.61
理,数学科学学院,7,2.54,1.22,2.1,5.86,2.54,1.22,2.1,5.86
理,化学科学与工程学院,7,2.42,1.16,1.86,5.43,2.42,1.16,1.86,5.43
理,海洋与地球科学学院,8,2.6,1.22,2.64,6.47,2.6,1.22,2.64,6.47
理,生命科学与技术学院,11,2.8,1.33,2.71,6.84,2.8,1.33,2.71,6.84
工,机械工程与机器人学院,16,3.63,2.77,1.73,8.14,3.63,2.77,1.73,8.14
工,测绘与地理信息学院,6,2.56,1.57,1.75,5.88,2.56,1.57,1.75,5.88
工,计算机科学与技术学院（软件学院）,15,4.61,3.69,2.76,11.07,4.61,3.69,2.76,11.07
工,汽车与能源学院,13,3.71,2.87,3.15,9.73,3.71,2.87,3.15,9.73
工,材料科学与工程学院,11,2.89,2.03,2.17,7.08,2.89,2.03,2.17,7.08
工,电子与信息工程学院,20,5.41,4.51,4.4,14.32,5.41,4.51,4.4,14.32
工,环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,16,3.7,2.62,3.32,9.65,3.7,2.62,3.32,9.65
工,土木工程学院,33,4.61,3.56,4.25,12.41,4.61,3.56,4.25,12.41
工,交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,22,4.36,3.39,3.77,11.51,4.36,3.39,3.77,11.51
工,建筑与城市规划学院,22,4.39,3.31,4.0,11.69,4.39,3.31,4.0,11.69
工,航空航天与力学学院,7,2.32,1.51,1.7,5.53,2.32,1.51,1.7,5.53
工,中德工程学院，职业技术教育学院,5,4.29,3.44,3.74,11.47,2.14,1.28,1.58,5.0
医,医学院,30,4.02,2.51,6.89,13.42,4.02,2.51,6.89,13.42
文,设计创意学院,8,4.01,2.2,5.3,11.51,2.84,1.04,4.13,8.0
文,人文学院,7,3.3,1.84,4.38,9.51,2.46,1.0,3.54,7.0
文,外国语学院,11,3.4,1.87,4.63,9.9,3.4,1.87,4.63,9.9
文,经济与管理学院,21,7.17,4.35,9.78,21.3,7.06,4.25,9.68,21.0
文,政治与国际关系学院,4,2.44,1.26,3.03,6.73,1.53,0.35,2.12,4.0
文,艺术与传媒学院,7,3.45,1.94,4.74,10.13,2.4,0.9,3.7,7.0
文,上海国际知识产权学院,3,1.62,0.86,1.83,4.32,1.18,0.42,1.4,3.0
文,马克思主义学院,6,2.5,1.28,2.88,6.66,2.28,1.06,2.66,6.0
文,国际文化交流学院,4,1.34,0.68,1.75,3.77,1.34,0.68,1.75,3.77
文,法学院,4,3.01,1.64,3.79,8.43,1.53,0.16,2.31,4.0
文,体育部（国际足球学院）,8,1.87,1.03,2.7,5.6,1.87,1.03,2.7,5.6
合计,-,342,97.6,62.92,100.43,260.95,89.25,54.57,92.08,235.9
