大类,部门名称,预算约束人数,约束前_总编制,约束前_正科,约束前_副科,约束前_科级以下,约束后_总编制,约束后_正科,约束后_副科,约束后_科级以下
理,物理科学与工程学院,10,6.53,1.31,1.96,3.26,6.53,1.31,1.96,3.26
理,数学科学学院,7,6.35,1.27,1.91,3.18,6.35,1.27,1.91,3.18
理,化学科学与工程学院,7,5.97,1.19,1.79,2.98,5.97,1.19,1.79,2.98
理,海洋与地球科学学院,8,6.0,1.2,1.8,3.0,6.0,1.2,1.8,3.0
理,生命科学与技术学院,11,6.68,1.34,2.0,3.34,6.68,1.34,2.0,3.34
工,机械工程与机器人学院,16,10.37,2.07,3.11,5.19,10.37,2.07,3.11,5.19
工,测绘与地理信息学院,6,5.77,1.15,1.73,2.88,5.77,1.15,1.73,2.88
工,计算机科学与技术学院（软件学院）,15,13.85,2.77,4.16,6.93,13.85,2.77,4.16,6.93
工,汽车与能源学院,13,10.75,2.15,3.22,5.37,10.75,2.15,3.22,5.37
工,材料科学与工程学院,11,7.55,1.51,2.26,3.77,7.55,1.51,2.26,3.77
工,电子与信息工程学院,20,16.95,3.39,5.09,8.48,16.95,3.39,5.09,8.48
工,环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,16,9.75,1.95,2.92,4.87,9.75,1.95,2.92,4.87
工,土木工程学院,33,13.31,2.66,3.99,6.65,13.31,2.66,3.99,6.65
工,交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,22,12.68,2.54,3.8,6.34,12.68,2.54,3.8,6.34
工,建筑与城市规划学院,22,12.36,2.47,3.71,6.18,12.36,2.47,3.71,6.18
工,航空航天与力学学院,7,5.59,1.12,1.68,2.79,5.59,1.12,1.68,2.79
工,中德工程学院，职业技术教育学院,5,12.84,2.57,3.85,6.42,5.0,1.0,1.5,2.5
医,医学院,30,14.76,2.95,4.43,7.38,14.76,2.95,4.43,7.38
文,设计创意学院,8,10.68,2.14,3.2,5.34,8.0,1.6,2.4,4.0
文,人文学院,7,9.08,1.82,2.73,4.54,7.0,1.4,2.1,3.5
文,外国语学院,11,9.08,1.82,2.72,4.54,9.08,1.82,2.72,4.54
文,经济与管理学院,21,22.74,4.55,6.82,11.37,21.0,4.2,6.3,10.5
文,政治与国际关系学院,4,5.85,1.17,1.76,2.93,4.0,0.8,1.2,2.0
文,艺术与传媒学院,7,9.63,1.93,2.89,4.82,7.0,1.4,2.1,3.5
文,上海国际知识产权学院,3,4.28,0.86,1.28,2.14,3.0,0.6,0.9,1.5
文,马克思主义学院,6,5.88,1.18,1.77,2.94,5.88,1.18,1.77,2.94
文,国际文化交流学院,4,3.27,0.65,0.98,1.64,3.27,0.65,0.98,1.64
文,法学院,4,7.94,1.59,2.38,3.97,4.0,0.8,1.2,2.0
文,体育部（国际足球学院）,8,5.17,1.03,1.55,2.59,5.17,1.03,1.55,2.59
合计,-,342,271.66,54.33,81.5,135.83,247.6,49.52,74.28,123.8
