部门名称,实有正科,实有副科,Q1_正科,Q1_副科,Q1正科差额,Q1副科差额,Q2_正科,Q2_副科,Q2正科差额,Q2副科差额,Qc_正科,Qc_副科,Qc正科差额,Qc副科差额
土木工程学院,7,5,10.8,6.69,3.8,1.69,4.05,2.44,-2.95,-2.56,6.86,5.17,-0.14,0.17
测绘与地理信息学院,1,0,1.81,1.12,0.81,1.12,3.93,2.36,2.93,2.36,3.05,1.57,2.05,1.57
建筑与城市规划学院,4,5,6.01,3.72,2.01,-1.28,4.19,2.53,0.19,-2.47,4.95,3.29,0.95,-1.71
经济与管理学院,6,3,5.66,3.51,-0.34,0.51,3.71,2.21,-2.29,-0.79,4.52,3.04,-1.48,0.04
机械工程与机器人学院,4,4,4.0,2.48,-0.0,-1.52,3.3,1.95,-0.7,-2.05,3.59,2.29,-0.41,-1.71
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,7,3,4.86,3.01,-2.14,0.01,4.26,2.57,-2.74,-0.43,4.51,2.85,-2.49,-0.15
电子与信息工程学院,5,3,6.69,4.15,1.69,1.15,3.36,1.99,-1.64,-1.01,4.75,3.37,-0.25,0.37
材料科学与工程学院,3,2,3.06,1.9,0.06,-0.1,3.35,1.98,0.35,-0.02,3.23,1.93,0.23,-0.07
计算机科学与技术学院（软件学院）,4,5,5.04,3.12,1.04,-1.88,3.51,2.08,-0.49,-2.92,4.14,2.75,0.14,-2.25
数学科学学院,3,1,1.73,1.07,-1.27,0.07,3.45,2.05,0.45,1.05,2.74,1.42,-0.26,0.42
物理科学与工程学院,3,1,2.6,1.61,-0.4,0.61,3.72,2.22,0.72,1.22,3.25,1.83,0.25,0.83
化学科学与工程学院,3,1,1.82,1.13,-1.18,0.13,3.35,1.98,0.35,0.98,2.71,1.43,-0.29,0.43
海洋与地球科学学院,3,0,1.77,1.1,-1.23,1.1,4.03,2.42,1.03,2.42,3.09,1.57,0.09,1.57
航空航天与力学学院,3,1,2.0,1.24,-1.0,0.24,3.17,1.87,0.17,0.87,2.68,1.46,-0.32,0.46
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,6,5,5.66,3.51,-0.34,-1.49,3.75,2.24,-2.25,-2.76,4.54,3.05,-1.46,-1.95
汽车与能源学院,3,3,5.24,3.25,2.24,0.25,3.22,1.9,0.22,-1.1,4.06,2.76,1.06,-0.24
医学院,5,3,10.25,6.35,5.25,3.35,3.22,1.9,-1.78,-1.1,6.15,4.75,1.15,1.75
生命科学与技术学院,1,1,2.83,1.75,1.83,0.75,4.12,2.48,3.12,1.48,3.58,2.02,2.58,1.02
外国语学院,3,3,1.91,1.19,-1.09,-1.81,3.56,2.12,0.56,-0.88,2.87,1.52,-0.13,-1.48
国际文化交流学院,3,0,0.82,0.51,-2.18,0.51,1.68,0.89,-1.32,0.89,1.32,0.65,-1.68,0.65
设计创意学院,3,1,1.97,1.22,-1.03,0.22,4.26,2.57,1.26,1.57,3.31,1.71,0.31,0.71
艺术与传媒学院,3,0,1.91,1.18,-1.09,1.18,3.14,1.84,0.14,1.84,2.63,1.42,-0.37,1.42
人文学院,3,0,1.65,1.02,-1.35,1.02,3.14,1.84,0.14,1.84,2.52,1.32,-0.48,1.32
政治与国际关系学院,2,1,1.07,0.67,-0.93,-0.33,3.25,1.91,1.25,0.91,2.34,1.11,0.34,0.11
法学院,2,1,1.42,0.88,-0.58,-0.12,3.25,1.91,1.25,0.91,2.48,1.25,0.48,0.25
上海国际知识产权学院,1,1,1.07,0.66,0.07,-0.34,1.68,0.89,0.68,-0.11,1.43,0.75,0.43,-0.25
马克思主义学院,3,0,1.16,0.72,-1.84,0.72,3.45,2.05,0.45,2.05,2.5,1.2,-0.5,1.2
中德工程学院，职业技术教育学院,3,3,1.5,0.93,-1.5,-2.07,3.22,1.9,0.22,-1.1,2.51,1.28,-0.49,-1.72
体育部（国际足球学院）,1,2,1.05,0.65,0.05,-1.35,1.68,0.89,0.68,-1.11,1.42,0.74,0.42,-1.26
合计/平均,98,58,97.38,60.34,-0.62,2.34,98.0,58.0,0.0,0.0,97.74,59.5,-0.26,1.5
--- 假设检验与评价指标 ---,,,,,,,,,,,,,,
配对t检验(p值),0.9631 (通过),0.8134 (通过),,,,,,,,,,,,
F检验(p值),0.2377 (通过),0.0337 (未通过),,,,,,,,,,,,
Levene检验(p值),0.7435 (通过),0.0523 (通过),,,,,,,,,,,,
MAE,0.7323,0.9339,,,,,,,,,,,,
RMSE,1.0156,1.1486,,,,,,,,,,,,
R²,0.6003,0.5218,,,,,,,,,,,,
